id,code_name,country,capital_address,tutor_id
134,bkes79f2dg,Croatia,"Willits, Caliangt Court 59",19353
135,7agrds9bs7,Ghana,"Paramount, La Follette Trail 77",27196
136,53pmy2l7l4,Niger,"Monterey, Burrows Drive 48",57610
137,x3yxvjiv9z,Macedonia,"Covina, Fieldstone Junction 36",39684
138,36iasdeiv0,Madagascar,"Portola, Crescent Oaks Trail 51",33051
139,fp7l2l069a,Cyprus,"San Pablo, Blue Bill Park Crossing 37",8433
140,aq7lirb1au,USSR,"Desert Hot Springs, Delaware Lane 29",28086
141,2pgjyrw5w3,French Polynesia,"Hercules, Sutherland Hill 32",2331
142,eitf102pbw,Yugoslavia,"Stockton, Nova Pass 19",53775
143,lbqjr66e94,Guatemala,"Eureka, Ryan Drive 2",28695
144,zqegywfh7n,Trinidad and Tobago,"Alameda, Holmberg Street 24",16835
145,qg106oykik,Grenada,"Healdsburg, Bartillon Place 23",6600
146,1r4xx5ywxq,Malta,"Maricopa, Eagle Crest Junction 81",7862
147,b0reraug6n,Thailand,"Concord, Thierer Avenue 35",51587
148,tvzxfqnj25,San Marino,"Colma, Di Loreto Alley 84",42370
149,y4lyux7t6p,US Minor Outlying Islands,"Anderson, Kenwood Way 94",30011
150,h8diw1vby2,Yemen,"Pleasant Hill, Heath Plaza 62",12953
151,f828wfrgky,French Southern Territories,"Moreno Valley, Hudson Plaza 17",16587
152,75zsa22qbk,Cook Islands,"Diamond Bar, Buhler Parkway 74",8100
153,kg1b02xrnp,Burundi,"Farmersville, Fallview Lane 53",37366
154,93qvejrtub,Cote d'Ivoire,"Los Altos, Carey Way 58",42817
155,h94eifre26,Marshall Islands,"Lindsay, Springs Road 82",44094
156,xaj0fr5ww6,Afghanistan,"Piedmont, Melby Lane 19",31570
157,bx65718k0a,Papua New Guinea,"Larkspur, Havey Place 8",2930
158,jkdgahr9ym,Moldova,"Port Hueneme, Banding Hill 80",25289
159,d5nflkk7m9,British Virgin Islands,"Goleta, Hoard Place 83",52969
160,u4w1qkkisj,Comoros,"Novato, Northport Pass 15",7911
161,6qasypl8ri,Guinea,"Tehachapi, Kensington Court 43",34688
162,nchhbynyse,Singapore,"Sierra Madre, Scott Way 88",50026
163,dnguvtakub,Cambodia,"Laguna Beach, Forest Dale Road 84",39959
164,z60cksxs2o,China,"Agoura Hills, Stoughton Court 88",18117
165,qnwce7n1dd,Portugal,"Norwalk, Dunning Junction 22",43842
166,zx5sscafln,French Guiana,"Monterey Park, Beilfuss Avenue 92",10627
167,mj8zf9ts9q,Kiribati,"Walnut, Delladonna Point 40",43489
168,ykgkh0f3b1,Wallis and Futuna Islands,"Montclair, 3rd Street 80",29310
169,tk6gr6w3ri,Mexico,"Malibu, Dayton Lane 59",42662
170,z0vjr6au9a,Brunei Darussalam,"Los Angeles, Loomis Park 37",35478
171,5k28vu68ul,Nigeria,"Claremont, Pond Crossing 44",15683
172,i28iuonv18,Sao Tome and Principe,"Dublin, Buhler Pass 39",12466
173,9k7myutnuq,Belgium,"Foster City, Sugar Crossing 38",39824
174,o7puezzzv6,Comoros,"Fillmore, Gale Center 45",26099
175,k77fqj3rya,Angola,"Hesperia, Cody Terrace 42",24148
176,a2mmjq9mye,Honduras,"Hemet, Utah Hill 90",35454
177,1rgoswgzib,Comoros,"Windsor, Schiller Way 10",24968
178,l31jq0wlta,Australia,"Malibu, Farmco Pass 24",46627
179,9916fdap8u,Saint Vincent and the Grenadines,"Signal Hill, Sycamore Place 48",8311
180,jxt80npsnp,Falkland Islands (Malvinas),"Santa Rosa, Florence Circle 12",5103
181,nfvyohxc38,Bolivia,"Cupertino, Pine View Point 68",46958
182,xbakyze0fp,Papua New Guinea,"La Habra Heights, 7th Avenue 53",48212
183,5q4h6w3yq7,Mauritius,"Baldwin Park, Ridge Oak Trail 14",57256
184,3g7wu4bhom,Cambodia,"Marina, Morning Court 66",43594
185,hgpylimrh1,Gibraltar,"Lathrop, Cascade Way 78",21078
186,2j7rc4vpel,Northern Mariana Islands,"Millbrae, Judy Pass 16",57182
187,mrpw6ppnq0,Fiji,"Isleton, Lighthouse Bay Park 63",16495
188,1pt5zxcu1v,Gambia,"Calipatria, Bay Point 38",55262
189,3q0uobuy00,United Arab Emirates,"Antioch, Graedel Alley 49",52066
190,wz27frbvdq,Central African Republic,"Blythe, Eastwood Lane 67",39773
191,hv8fn1gtfx,Anguilla,"Belmont, Melody Pass 69",16506
192,m1tb472o9d,Bolivia,"Lemoore, Barby Parkway 76",13760
193,olmvr1u1z4,Papua New Guinea,"Lake Elsinore, Kim Pass 90",22834
194,way26njjch,Djibouti,"Napa, Gale Terrace 65",27055
195,ixffb4q32w,Vanuatu,"Dixon, Cordelia Alley 53",19313
196,4dg2dwcz2w,Saudia Arabia,"Mission Viejo, Havey Drive 30",36654
197,xd24yr11sy,Yugoslavia,"Desert Hot Springs, Dovetail Street 88",42101
198,p9nb8fpw24,Canada,"Los Altos Hills, Crownhardt Plaza 18",3055
199,ve9yfaxcph,Oman,"Angels Camp, Sheridan Avenue 67",11810
200,2de56z112s,Guinea-Bissau,"Irvine, Susan Avenue 34",15846
201,mqhtwbuwzn,Iceland,"Lynwood, Monterey Plaza 88",12054
202,kny0xo1f6i,Falkland Islands (Malvinas),"Los Banos, Dawn Drive 35",59242
203,zp1bo5wz98,Cyprus,"Grass Valley, Lerdahl Lane 61",19248
204,py9ny6vg0x,Syria,"Galt, Ludington Street 61",58339
205,yguekzgsr6,Samoa,"Orland, Dunning Lane 22",40831
206,9p171tkc5o,Micronesia,"Redlands, Atwood Plaza 43",17142
207,08lk4i0skx,Guernsey,"Fort Jones, Claremont Circle 88",2300
208,a356c32wtw,Saint Kitts and Nevis,"Carmel-by-the-Sea, Cody Terrace 94",30060
209,duffw163f7,Moldova,"Coronado, Mandrake Place 54",32261
210,82tm9l2lfy,USSR,"Alameda, Anniversary Alley 16",34411
211,it3nnphjf3,Gabon,"Richmond, Schmedeman Avenue 12",14990
212,oyik4guczm,Morocco,"Vacaville, Tennessee Trail 37",59714
213,m1iwsmuhf1,Vietnam,"Grover Beach, Sauthoff Alley 56",50262
214,vqpr0x3p6m,Bahamas,"Imperial, Mendota Parkway 82",59058
215,avo6eukex4,Bolivia,"Hawaiian Gardens, Northport Pass 24",32930
216,n3365i2gc6,Azerbaijan,"Stockton, Ramsey Way 65",7967
217,vu9j9mfzlo,Paraguay,"Monte Sereno, Fallview Alley 93",41749
218,5l57mrt8bc,Grenada,"Thousand Oaks, Luster Crossing 35",35219
219,flcdnkratg,Iraq,"Oceanside, Hagan Avenue 23",53068
220,9zgqh9ciu9,Madagascar,"Arcata, Morrow Avenue 10",57616
221,cj66q7urdu,Djibouti,"Lincoln, Buena Vista Trail 11",52226
222,fbif8mma4d,Austria,"San Jose, Banding Parkway 84",4529
223,f4tsfer7ki,US Minor Outlying Islands,"Folsom, Kings Street 56",40149
224,cxq4v5x5ka,Portugal,"Livermore, Eagle Crest Alley 20",53008
225,a5p1m7gi2l,Martinique,"Irwindale, Center Alley 71",10735
226,3w6l2z2dp5,Belize,"Emeryville, Almo Alley 40",39163
227,jz384aptr6,India,"Signal Hill, Utah Point 74",39172
228,ba7okoq00x,Dominican Republic,"St. Helena, Utah Terrace 36",1698
229,134bsr0gz5,Australia,"Selma, Sunnyside Alley 74",21095
230,66jttlgtku,Belarus,"Montclair, Summer Ridge Park 77",12913
231,3obmz15sz5,Jersey,"Avenal, Mccormick Hill 91",22003
232,ze300o4n1g,Antigua and Barbuda,"Newport Beach, Veith Drive 10",52596
233,3tpl1mbajm,Latvia,"Taft, Farmco Crossing 46",8704
234,i22smrb8m4,Poland,"San Carlos, Springs Court 48",54053
235,8ewu4ejsdy,San Marino,"Sebastopol, Grayhawk Place 21",43106
236,os3ayj7j54,Heard and McDonald Islands,"Temple City, Bartelt Alley 65",179
237,k94165crpz,Hungary,"Placerville, Randy Center 19",53881
238,wwviwhy39v,Northern Mariana Islands,"San Rafael, Cody Place 30",25876
239,j2a5g9or3w,Saint Kitts and Nevis,"La Puente, Springview Parkway 89",58666
240,8kuh7m0ngq,Guinea-Bissau,"Bell Gardens, Dorton Point 65",22863
241,d4fl0yadjl,Georgia,"Ontario, Debs Plaza 78",52329
242,qaztentn6q,Laos,"Azusa, Moland Street 87",41062
243,cohgaoxjag,Guadeloupe,"Dos Palos, Victoria Junction 63",9954
244,8qcu7ftl7q,Isle of Man,"Manteca, Cascade Alley 55",18037
245,h311xrm13i,Djibouti,"Sierra Madre, Schurz Center 78",33813
246,pczm5ke02c,San Marino,"Sanger, Prairie Rose Trail 58",22562
247,8crmk6e174,Cook Islands,"Lathrop, Granby Trail 65",23391
248,d31rd7sbh3,"Korea, South","Chico, Jenna Hill 78",19663
249,o88gfnx9w2,Mauritius,"Nevada City, Golden Leaf Trail 90",42302
250,1r3ks140na,Brunei Darussalam,"Portola, Mcguire Drive 39",5752
251,174k56fgzr,Mongolia,"Fremont, Holy Cross Road 24",52318
252,03cmiy9v5j,Solomon Islands,"Redwood City, Charing Cross Point 41",24488
253,dj58v93auu,Aruba,"Millbrae, Comanche Court 53",35604
254,uu5zafsfoy,Guernsey,"Mendota, 5th Trail 63",29776
255,wb6uv27ax2,Belarus,"Santa Clara, Mendota Park 0",31273
256,qe0nngoquv,Reunion,"Willows, Ilene Crossing 35",41878
257,ba4oso3kut,New Caledonia,"Brea, Center Junction 58",3065
258,xz0ml26bdl,Montserrat,"San Leandro, Old Shore Street 82",50331
259,3m6frflx7l,Colombia,"Downey, Raven Alley 70",28868
260,rltw835s3u,Åland,"Goleta, Almo Pass 32",124
261,k88yf5s4a3,Palau,"Blue Lake, New Castle Junction 98",37545
262,0xymd12chs,Kazakhstan,"Riverbank, Golden Leaf Alley 32",55765
263,fk4rzr9mbk,Gambia,"Daly City, Lakeland Lane 21",56752
264,6440rcq9w3,Saint Lucia,"Yucca Valley, Jackson Circle 80",49059
265,l6hbrtra8l,Bulgaria,"San Anselmo, Milwaukee Point 89",20741
266,tmnibwd3xe,Seychelles,"Maricopa, American Alley 39",16587
267,3b91ii7acw,Rwanda,"Cypress, Magdeline Circle 93",32497
268,6bqowsqpga,Marshall Islands,"Corning, Dorton Pass 66",13111
269,1hwheexyqf,Chad,"Coalinga, Lighthouse Bay Terrace 99",40253
270,469v2pmbxz,Bulgaria,"Wasco, David Hill 36",5091
271,oq6crbghri,Pakistan,"Waterford, Arizona Parkway 45",38511
272,qouyscgzkz,Ireland,"Santa Clara, Oakridge Court 82",32806
273,2cfv7cerv1,Paraguay,"Marina, 7th Circle 18",34661
274,b5rtd5dyu9,Philippines,"Lemon Grove, Melby Alley 94",25030
275,z8rxxn010u,Madagascar,"Thousand Oaks, Scott Drive 76",43832
276,eob8nw8lz2,Slovakia,"Redlands, High Crossing Trail 56",40816
277,qswfwn0zum,Pakistan,"East Palo Alto, Harper Avenue 30",50743
278,3lf5r5jzkm,"Congo, Democratic Republic of","Lakewood, Barnett Way 80",799
279,o58oae4bnu,Dominican Republic,"Capitola, Gulseth Terrace 65",51979
280,v5ko5j5l2x,Northern Mariana Islands,"Adelanto, Main Circle 94",55944
281,xdrlufmqgd,Turks and Caicos Islands,"Shasta Lake, Veith Place 40",50126
282,j4rvwr44rb,Saudia Arabia,"Stanton, Mallory Junction 87",6290
283,ykubf337sv,"Congo, Democratic Republic of","Costa Mesa, Debs Way 45",404
284,lso4r2ogtr,Afghanistan,"Woodside, Novick Road 58",20101
285,f3n10gjn0c,Samoa,"Lafayette, South Street 32",31372
286,6sy0fxwk80,Kazakhstan,"Shafter, American Crossing 81",18807
287,l2tv855p4d,Pitcairn Island,"Napa, Dixon Street 85",52040
288,5xgo41h9i9,Bhutan,"Hughson, Monterey Parkway 18",30224
289,9kzpvxz6gx,Saint Helena,"Scotts Valley, Corry Crossing 1",53465
290,t45nznypgs,Gabon,"Buellton, Oxford Crossing 6",28317
291,563cs7mdzg,Faroe Islands,"San Bruno, Huxley Terrace 67",55934
292,fberiv8u6n,Uganda,"Rialto, Anzinger Center 20",26410
293,cqpw00wcdk,Equatorial Guinea,"Paso Robles, Schiller Road 65",21078
294,pxlq2akk1c,British Virgin Islands,"Vallejo, Katie Circle 45",44839
295,nd0e0lf3ys,Estonia,"Loomis, Veith Crossing 82",35505
296,9vyzx6gnmt,Jordan,"San Marino, Florence Street 52",9488
297,drqitgmidd,Belarus,"Colusa, Del Mar Trail 95",2508
298,qxg6e6xwq8,Gibraltar,"Agoura Hills, 8th Circle 63",2845
299,gi8wqfl4dr,Romania,"Mount Shasta, East Park 10",37816
300,qmxxi76a59,"Congo, Republic of","Alturas, Leroy Junction 27",26183
301,nvatmrfq60,Tajikistan,"Roseville, Fallview Pass 53",57184
302,1p94khgmx2,Azerbaijan,"Santa Paula, Susan Park 73",40133
303,4d9wjcducs,Serbia,"Point Arena, Stuart Center 61",54651
304,3frahsztt3,Mauritania,"Cypress, Colorado Avenue 67",51336
305,64ppd2hzbc,United Kingdom,"Santa Fe Springs, Division Circle 47",40676
306,wpf1obt6mv,Botswana,"Arroyo Grande, Memorial Parkway 22",28700
307,bgbq82cuvm,Haiti,"Jackson, Warbler Point 82",16951
308,h57v8lp93r,Japan,"Vacaville, Oxford Drive 36",58645
309,ubdvso3524,Estonia,"San Mateo, Jay Court 86",47241
310,lwf8z6qn11,USSR,"Yorba Linda, Hoepker Parkway 38",57524
311,eayzs675c1,Saudia Arabia,"Santa Fe Springs, Meadow Vale Alley 9",31235
312,n4cjpjqziy,Fiji,"Arcata, Heath Lane 77",54799
313,cqymt4e7nj,Cape Verde,"Yucca Valley, Hoepker Street 52",39757
314,4eq4487bbd,Martinique,"Shafter, 8th Place 29",7010
315,3dj204bx8j,Haiti,"Danville, Merchant Terrace 18",12127
316,k2uq7zkcxe,Gibraltar,"Goleta, Oriole Road 40",31701
317,05hx2t90az,Ethiopia,"Chula Vista, Roth Park 61",28303
318,mealixj8tx,Lebanon,"Chico, Goodland Avenue 49",34450
319,bi0uadd3qo,Albania,"National City, Dwight Trail 31",12572
320,m1zwdunuvj,New Zealand,"Antioch, Sycamore Park 4",53662
321,s3ww4rqiut,Macau,"Imperial, Crescent Oaks Center 57",40093
322,40e7hs80xk,Liechtenstein,"Del Rey Oaks, Bashford Street 86",27964
323,iaxl8x4jog,Costa Rica,"Santa Maria, Lunder Park 78",59824
324,y0mxtudal4,Solomon Islands,"Santa Clara, Arapahoe Court 89",50029
325,qh66rk1jts,Saudia Arabia,"Mendota, Forest Run Park 97",20992
326,w15830nrl3,Samoa,"Livingston, South Avenue 2",20755
327,ybs0bpjxbk,Uzbekistan,"Piedmont, Rockefeller Junction 35",19701
328,1qo4cwme4v,Seychelles,"Garden Grove, 4th Center 89",26049
329,4xnbw1nvmh,Saint Lucia,"McFarland, Welch Way 30",12679
330,7g768robkg,Luxembourg,"Dinuba, Vahlen Avenue 63",38901
331,3zhxa7ar2o,Turkmenistan,"Pismo Beach, Ronald Regan Street 74",46098
332,rftbiav20k,Maldives,"Perris, Roth Terrace 41",8642
333,9q60ht89un,Liechtenstein,"Whittier, Vahlen Way 63",51920
334,4pvlao620q,Moldova,"Carson, Gulseth Road 98",15206
335,93ma8v6mrf,Western Sahara,"Truckee, Cordelia Point 81",4732
336,khu4qdzuh2,Japan,"Apple Valley, Fallview Way 94",34979
337,a13f2oorc2,Montserrat,"Carpinteria, Burrows Place 47",36713
338,7f74a1s1h5,Mexico,"Victorville, Bay Junction 0",46138
339,mlj64mo574,Jordan,"Pismo Beach, Tony Avenue 0",46014
340,fil88ua8rh,Martinique,"Del Mar, Shasta Place 76",37536
341,uymbzwff98,"Korea, South","Chowchilla, Marquette Street 5",35093
342,oniu5h30c1,Morocco,"El Centro, Fisk Terrace 4",15955
343,rrgp0b6pu3,French Southern Territories,"Tiburon, Texas Alley 78",40509
344,p336iv1vy8,Niger,"Danville, Carberry Hill 37",18146
345,1j6nxuhnro,Peru,"Burbank, Algoma Parkway 74",14424
346,o2j1nb1xci,Poland,"Compton, Lyons Trail 84",59584
347,2ri61h3x52,Uruguay,"Palos Verdes Estates, Comanche Alley 5",49949
348,v9d79qk1jw,Haiti,"Truckee, Lotheville Road 48",20212
349,3wkbnglea4,Turks and Caicos Islands,"Ventura, Hooker Point 36",21831
350,oczladihxr,British Virgin Islands,"Rancho Cordova, 8th Trail 32",54891
351,0shefulks9,Fiji,"Red Bluff, Golf Course Court 52",29631
352,o5dh86d7pe,Malaysia,"Agoura Hills, Welch Place 55",14339
353,buqkf81xjc,Somalia,"Madera, Dunning Road 25",9937
354,6vh1lc6sbx,Slovenia,"Shafter, Golf View Parkway 62",14435
355,lvifn9rs79,Australia,"Turlock, Shoshone Pass 55",39401
356,uncsud079o,Finland,"Bishop, Dwight Avenue 98",4560
357,u6j1bco72v,Peru,"Clovis, Division Lane 21",38598
358,6j15vdhh5i,Guatemala,"Dana Point, Schlimgen Street 28",57559
359,bqasc1540n,Antigua and Barbuda,"Brentwood, Bartelt Park 3",2918
360,6v447eiugi,Libya,"Menlo Park, Sullivan Road 74",33516
361,fdviatkw21,Cape Verde,"Los Angeles, Esker Hill 26",18297
362,eu7pn0v9hi,Oman,"Anaheim, Gerald Crossing 14",41806
363,dkfhcul0fx,Lebanon,"Rancho Cucamonga, Everett Center 11",48973
364,7yprdfze6j,Nepal,"Walnut Creek, Stephen Drive 28",14827
365,cuzf3iu2cb,Venezuela,"Solvang, Bayside Trail 75",53236
366,nyqnezlgzu,Niue,"Ripon, Schlimgen Crossing 86",33096
367,dhdmt3zb5j,Saudia Arabia,"Taft, Blue Bill Park Parkway 62",52871
368,te5vcavb69,United States Virgin Islands,"City of Industry, Mcbride Parkway 70",52345
