id,zone_id,safety_class_id,mentor_id,address
101,48,1,37816,"San Diego, Arizona Alley 72"
102,115,2,54428,"Angels Camp, Kropf Drive 18"
103,732,3,22443,"Calistoga, Superior Crossing 86"
104,481,3,16506,"San Leandro, Moose Drive 84"
105,237,1,5109,"Biggs, Walton Crossing 37"
106,431,5,12686,"Bradbury, Barnett Place 12"
107,374,7,27359,"Anderson, Bluestem Trail 75"
108,504,7,37296,"Agoura Hills, Comanche Street 35"
109,457,2,11606,"Needles, Thompson Center 93"
110,795,2,35570,"Sutter Creek, Monument Center 49"
111,785,7,52331,"Buena Park, Sunfield Court 47"
112,544,6,9052,"Millbrae, Algoma Pass 26"
113,452,6,18849,"Beverly Hills, Myrtle Parkway 77"
114,318,4,38834,"Seal Beach, Utah Parkway 93"
115,877,4,47745,"Dos Palos, Shoshone Point 6"
116,249,5,12802,"Moraga, Straubel Drive 20"
117,385,1,2872,"Chico, Thompson Junction 79"
118,659,7,38927,"Diamond Bar, Golf Alley 58"
119,496,3,44760,"Temecula, Vernon Crossing 73"
120,189,1,47095,"Isleton, Del Sol Park 28"
121,770,8,13666,"Ridgecrest, American Circle 3"
122,810,2,22292,"Maricopa, Kenwood Park 47"
123,322,5,47410,"Coalinga, Hollow Ridge Lane 82"
124,197,1,20592,"Lincoln, Oak Valley Circle 4"
125,132,5,59540,"Cotati, Florence Point 96"
126,91,3,51234,"Grand Terrace, Fisk Center 21"
127,823,1,14770,"San Marino, Ohio Road 33"
128,6,2,41137,"Los Banos, Old Gate Drive 70"
129,522,4,56941,"Escalon, Claremont Pass 69"
130,183,5,103,"Azusa, Bultman Avenue 49"
131,951,1,22181,"Buellton, Parkside Pass 13"
132,270,2,30640,"Imperial, Center Center 83"
133,797,8,10092,"Simi Valley, Nobel Avenue 56"
134,169,4,53184,"Bellflower, Union Place 65"
135,477,2,20129,"Lathrop, Bartillon Lane 86"
136,654,5,54843,"Duarte, Ruskin Parkway 59"
137,249,4,7504,"Lemoore, Rieder Place 54"
138,530,5,17396,"Santa Fe Springs, Northland Crossing 57"
139,195,3,8787,"Port Hueneme, Jackson Drive 6"
140,646,4,19281,"Mammoth Lakes, Kenwood Terrace 34"
141,173,2,30414,"Orange, Harper Road 29"
142,309,3,44882,"Diamond Bar, Donald Hill 70"
143,716,7,22386,"Palos Verdes Estates, Roth Center 62"
144,128,3,15860,"El Segundo, Golf Way 0"
145,400,5,47207,"Bradbury, Washington Pass 88"
146,747,1,45357,"Petaluma, Monument Alley 99"
147,709,7,17791,"Arroyo Grande, Vernon Circle 47"
148,778,2,36427,"Colton, Clarendon Pass 37"
149,623,3,24603,"Newark, Scott Trail 22"
150,930,4,4861,"Irwindale, Valley Edge Lane 7"
151,528,6,50287,"Tulare, Vera Lane 93"
152,951,6,10410,"Rosemead, Dayton Trail 84"
153,794,2,55080,"Poway, Luster Point 39"
154,944,3,14535,"Whittier, Meadow Valley Terrace 41"
155,364,1,10962,"Loomis, Drewry Park 95"
156,649,3,20320,"Grand Terrace, Thierer Crossing 42"
157,894,3,22930,"Fullerton, Westerfield Circle 87"
158,531,3,34745,"Fresno, Reinke Drive 74"
159,144,6,23373,"Yountville, Dexter Hill 71"
160,163,7,24367,"Foster City, Luster Hill 49"
161,427,3,56810,"Livermore, Maple Junction 29"
162,683,1,34135,"Vernon, Fremont Street 14"
163,565,2,58049,"Mission Viejo, Hazelcrest Crossing 72"
164,806,6,52310,"Colton, Roxbury Way 43"
165,218,7,56110,"Richmond, Shoshone Junction 99"
166,778,1,32942,"Sunnyvale, Stuart Trail 94"
167,671,1,41395,"Corning, Dryden Lane 44"
168,51,3,3298,"Newark, Walton Plaza 88"
169,757,7,57121,"Rancho Palos Verdes, Lien Lane 46"
170,390,6,33014,"El Centro, Sage Place 27"
171,803,1,53449,"Orinda, Derek Road 71"
172,193,3,16820,"Palmdale, Green Ridge Center 68"
173,372,1,53930,"Sand City, Cambridge Terrace 84"
174,12,2,44202,"Rosemead, Forster Drive 6"
175,232,2,19300,"Paradise, Ridgeway Way 76"
176,225,5,50365,"Canyon Lake, Golf View Drive 6"
177,980,3,31246,"Dixon, Dunning Lane 5"
178,680,4,39380,"Point Arena, Truax Street 17"
179,212,6,27047,"Farmersville, Bartillon Avenue 99"
180,712,2,34795,"Glendora, Tennessee Junction 96"
181,444,5,41850,"Barstow, Sunnyside Trail 79"
182,664,6,40669,"Cotati, Rowland Park 14"
183,164,7,23453,"Aliso Viejo, Ridge Oak Court 37"
184,848,3,38981,"San Jacinto, Iowa Street 79"
185,916,6,28121,"Needles, Beilfuss Hill 2"
186,379,4,52143,"Truckee, Bowman Circle 54"
187,53,1,37500,"Loyalton, Pine View Court 79"
188,821,6,7667,"Pasadena, Esch Road 44"
189,273,2,17543,"Dorris, Hoffman Point 7"
190,194,3,45299,"Gustine, Merchant Trail 31"
191,535,5,43259,"Auburn, Ridgeway Point 86"
192,916,4,48548,"Redlands, Nobel Court 59"
193,809,7,51956,"Anaheim, Sunfield Pass 38"
194,832,7,47860,"Farmersville, Dunning Way 35"
195,390,6,16722,"National City, Oxford Road 56"
196,698,1,42080,"Pittsburg, Browning Junction 28"
197,551,7,4950,"Dunsmuir, Columbus Lane 34"
198,554,5,37966,"City of Commerce, Swallow Place 53"
199,990,2,20870,"Carlsbad, Steensland Hill 61"
200,115,1,56253,"Berkeley, Pennsylvania Place 31"
201,111,6,20188,"Plymouth, Dawn Place 37"
202,658,7,29809,"Corning, Kedzie Point 0"
203,357,6,31357,"Agoura Hills, Florence Drive 57"
204,15,7,20985,"Villa Park, John Wall Lane 43"
205,923,3,43578,"Richmond, Blue Bill Park Road 9"
206,977,2,39553,"Willits, Vermont Alley 10"
207,254,3,46425,"Petaluma, Del Sol Terrace 21"
208,785,5,23954,"Tiburon, Canary Point 8"
209,475,1,15926,"Placerville, Sugar Plaza 47"
210,171,5,2874,"Fontana, Dunning Point 9"
211,184,8,25484,"Whittier, Tony Trail 53"
212,595,8,30043,"Chico, Darwin Pass 34"
213,201,1,40781,"Elk Grove, International Terrace 16"
214,705,7,43890,"Laguna Woods, Cody Alley 94"
215,820,5,20016,"Waterford, Melrose Plaza 14"
216,472,8,48392,"Rancho Palos Verdes, Ridgeview Hill 17"
217,660,2,39373,"Hayward, Paget Point 75"
218,6,4,23849,"Lakewood, Carioca Trail 25"
219,157,2,9856,"Gonzales, Hauk Lane 19"
220,287,4,9284,"Marysville, American Center 47"
221,253,1,29585,"Rio Dell, Scofield Hill 67"
222,709,3,30244,"Manteca, Bunting Circle 72"
223,664,1,1620,"San Francisco, Hintze Park 77"
224,609,2,58082,"Union City, Sundown Road 40"
225,693,4,24488,"Live Oak, Brentwood Place 84"
226,4,1,36595,"Glendale, Moland Circle 68"
227,115,6,42792,"Corcoran, Sundown Trail 40"
228,643,1,49237,"Martinez, Schurz Street 25"
229,198,7,7613,"Artesia, Oneill Point 6"
230,172,5,38315,"Arcata, Evergreen Way 1"
231,942,4,16697,"Belvedere, Arapahoe Center 55"
232,815,1,16280,"Lemon Grove, Green Point 93"
233,257,2,49587,"Placerville, Blackbird Terrace 11"
234,487,2,27825,"Pleasanton, Homewood Plaza 89"
235,881,1,7897,"Los Angeles, Melody Pass 25"
236,429,4,22959,"Solvang, Farwell Drive 50"
237,847,2,28538,"San Juan Capistrano, Clove Pass 38"
238,388,3,56520,"Coronado, Katie Point 75"
239,197,2,15847,"Simi Valley, Forest Dale Point 67"
240,270,8,46069,"Palo Alto, Buhler Parkway 26"
241,756,6,25024,"Chino Hills, Hanover Center 77"
242,505,4,32577,"Anaheim, Northland Drive 42"
243,53,7,59118,"Pico Rivera, Oak Valley Point 65"
244,748,4,18408,"Buellton, Bayside Pass 35"
245,892,5,32438,"San Carlos, Shasta Center 10"
246,140,2,41800,"Lawndale, Bonner Plaza 54"
247,781,6,18736,"Solvang, Forest Run Circle 46"
248,32,5,24126,"Bishop, Lindbergh Trail 17"
249,275,1,38960,"Merced, Stoughton Circle 66"
250,329,4,38166,"Cotati, Fulton Place 62"
251,929,5,56742,"Cloverdale, Bellgrove Point 49"
252,904,7,9494,"Camarillo, Dennis Crossing 42"
253,135,5,52211,"Glendora, American Ash Way 45"
254,968,5,35374,"Redlands, Eastwood Street 86"
255,475,7,4470,"East Palo Alto, Kropf Avenue 93"
256,966,8,49752,"Goleta, Sauthoff Way 68"
257,64,2,56839,"Cathedral City, Moland Place 18"
258,264,7,1765,"Half Moon Bay, Fremont Lane 44"
259,478,7,58264,"Bradbury, Golf View Circle 96"
260,585,6,56191,"Ferndale, Shopko Crossing 21"
261,375,2,45143,"Red Bluff, Fair Oaks Way 66"
262,642,6,51197,"Red Bluff, Sunfield Street 31"
263,103,5,8020,"Glendora, Milwaukee Terrace 25"
264,203,7,10531,"Atwater, Fuller Lane 68"
265,116,3,42084,"Monterey Park, Del Mar Lane 25"
266,590,8,24861,"Calistoga, Nevada Junction 37"
267,58,7,40487,"Colton, New Castle Junction 3"
268,910,5,44737,"Benicia, Mayer Trail 96"
269,76,1,22862,"Banning, Sheridan Terrace 60"
270,721,5,17916,"Lake Forest, Shelley Court 53"
271,822,7,44766,"Encinitas, Dexter Drive 56"
272,204,2,10581,"Lathrop, Kings Park 42"
273,57,4,4626,"San Marcos, Del Mar Terrace 17"
274,912,6,44985,"South Pasadena, Mallory Parkway 59"
275,704,4,40676,"Sonoma, Russell Circle 89"
276,377,5,11980,"Madera, Troy Center 73"
277,706,7,8658,"Calexico, Coleman Hill 48"
278,624,1,22009,"Watsonville, Shelley Avenue 9"
279,337,4,39262,"Larkspur, Hollow Ridge Drive 55"
280,44,3,51509,"Lynwood, Bluejay Drive 89"
281,578,6,42495,"Redondo Beach, Browning Avenue 80"
282,518,7,55049,"Milpitas, Arapahoe Pass 2"
283,202,6,21373,"West Sacramento, Garrison Crossing 95"
284,969,4,4055,"Anderson, Lakewood Center 97"
285,717,1,3514,"Orange, Esker Trail 89"
286,879,7,2838,"Sonora, Shasta Junction 94"
287,848,3,29873,"Winters, Granby Center 77"
288,85,4,17156,"Escondido, Pond Park 59"
289,580,4,45798,"Placentia, East Lane 36"
290,465,5,31318,"San Leandro, Portage Road 65"
291,239,3,54428,"Rialto, Sunbrook Lane 48"
292,574,5,8013,"Oakland, Barby Avenue 69"
293,552,1,47009,"Belmont, Ronald Regan Point 53"
294,494,5,1978,"Orland, Pepper Wood Lane 72"
295,372,1,7657,"Cerritos, Farwell Parkway 15"
296,178,6,26173,"Bell Gardens, Old Gate Circle 47"
297,954,4,31894,"Temecula, Sunbrook Road 89"
298,153,8,28665,"Bell, 4th Crossing 24"
299,974,4,38595,"Albany, Shoshone Parkway 31"
300,96,4,59518,"Covina, Pankratz Way 61"
301,928,7,15876,"Burbank, Delladonna Center 7"
302,100,7,45624,"Kingsburg, Kingsford Parkway 36"
303,951,5,38673,"Palos Verdes Estates, Katie Lane 14"
304,939,5,23506,"Barstow, Swallow Street 53"
305,666,6,53179,"Solana Beach, New Castle Circle 55"
306,602,4,46135,"Lincoln, Pawling Park 86"
307,702,4,39845,"Del Rey Oaks, Dovetail Drive 1"
308,228,6,39406,"La Puente, Longview Terrace 56"
309,48,7,49410,"Sierra Madre, Butternut Place 53"
310,49,6,15478,"Loyalton, Monica Court 12"
311,419,2,19959,"Rancho Palos Verdes, Fulton Plaza 38"
312,499,5,12330,"Glendale, Monica Parkway 45"
313,680,3,9682,"Plymouth, Darwin Pass 80"
314,314,2,15678,"Banning, Bunker Hill Street 38"
315,442,7,22956,"Adelanto, Raven Park 45"
316,145,3,8343,"Corona, Artisan Center 37"
317,628,6,34414,"San Rafael, Carioca Plaza 12"
318,565,5,33817,"Sacramento, Lerdahl Park 14"
319,76,1,30594,"Rancho Palos Verdes, Surrey Place 18"
320,646,3,56665,"Morro Bay, Saint Paul Plaza 27"
321,340,3,21996,"Newman, Raven Terrace 87"
322,450,4,53877,"Manteca, 5th Alley 38"
323,371,4,12734,"Redlands, Tony Court 87"
324,272,4,50029,"Gustine, Scoville Place 75"
325,980,2,46495,"Los Alamitos, Maple Point 70"
326,905,6,7505,"Santa Fe Springs, Valley Edge Way 81"
327,319,2,2261,"Solvang, Manufacturers Drive 80"
328,693,2,58581,"Los Alamitos, Kingsford Avenue 24"
329,203,1,44810,"Palmdale, Fairview Court 83"
330,254,3,14416,"Clearlake, Golden Leaf Crossing 38"
331,450,3,8422,"El Centro, Sunfield Terrace 7"
332,329,1,47146,"Holtville, Emmet Drive 65"
333,722,5,32012,"Imperial Beach, Lakewood Gardens Plaza 46"
334,335,5,48590,"Williams, Sutherland Terrace 21"
335,237,3,42154,"Tracy, South Pass 2"
336,275,2,58918,"Livingston, Shoshone Terrace 41"
337,357,4,38031,"Del Rey Oaks, Carberry Road 10"
338,635,5,51353,"Lakeport, Cottonwood Drive 79"
339,109,7,14094,"Palm Desert, Jenifer Crossing 80"
340,868,3,6349,"Laguna Hills, Grover Drive 61"
341,686,6,17339,"Upland, Kipling Alley 19"
342,941,3,4731,"Montebello, Myrtle Road 77"
343,77,2,32177,"Shafter, Stang Street 88"
344,817,1,27001,"Del Mar, Bayside Drive 40"
345,49,4,56042,"Sanger, Dapin Plaza 49"
346,31,1,17558,"Willits, Calypso Avenue 14"
347,928,7,31528,"Huntington Beach, Hansons Road 55"
348,86,7,52335,"Benicia, Rusk Circle 8"
349,650,6,18676,"South Gate, Tomscot Avenue 72"
350,106,1,36561,"Bishop, Pennsylvania Crossing 82"
351,970,7,35923,"El Centro, Maywood Drive 2"
352,556,1,54996,"Corning, Old Gate Parkway 58"
353,33,3,48241,"La Puente, Main Alley 42"
354,231,2,45436,"Gustine, Paget Center 14"
355,806,4,30565,"Watsonville, Eastlawn Parkway 93"
356,388,7,31556,"Imperial Beach, Caliangt Point 22"
357,932,4,57081,"Burbank, Shopko Circle 95"
358,788,5,17729,"Ferndale, Fair Oaks Parkway 40"
359,517,5,28009,"Burbank, South Trail 77"
360,218,2,48175,"Oakley, Leroy Drive 9"
361,233,6,15683,"Rolling Hills Estates, Sheridan Center 4"
362,251,3,16498,"Jackson, Westport Way 62"
363,331,7,33977,"Chino, Northport Lane 6"
364,368,5,36994,"Coronado, Upham Alley 27"
365,929,5,34945,"Brentwood, Truax Terrace 22"
366,43,3,31913,"Redding, Roth Terrace 57"
367,912,4,36844,"Fowler, Park Meadow Park 38"
368,918,1,44076,"Hercules, Elka Way 0"
369,625,5,54899,"Susanville, Graceland Alley 54"
370,146,1,25891,"Willits, Bluestem Alley 49"
371,517,1,6612,"Duarte, La Follette Park 16"
372,80,3,31894,"Bell, Jenna Trail 79"
373,783,2,7564,"Guadalupe, Service Place 34"
374,16,6,53917,"Santa Barbara, Golf Course Hill 59"
375,105,5,2040,"Ventura, Orin Pass 4"
376,95,5,49723,"La Verne, Eliot Terrace 78"
377,842,1,57829,"Baldwin Park, Pawling Lane 61"
378,564,6,11381,"Simi Valley, Farragut Point 44"
379,804,7,12240,"Bell Gardens, Texas Center 67"
380,803,2,25619,"La Habra, Eliot Street 73"
381,276,2,13270,"Mammoth Lakes, Summit Way 35"
382,938,6,43865,"Tustin, International Crossing 8"
383,313,5,19366,"Laguna Beach, Lakewood Circle 15"
384,982,4,22880,"Avenal, Dennis Street 22"
385,760,5,44153,"Stanton, Anniversary Alley 81"
386,215,5,25942,"Rancho Palos Verdes, Orin Pass 40"
387,374,4,32206,"Manteca, Miller Circle 41"
388,475,7,52442,"Whittier, Becker Way 55"
389,751,4,44892,"Clearlake, Amoth Trail 46"
390,55,2,19244,"Santa Clara, Upham Terrace 95"
391,349,4,20359,"Adelanto, Hoard Place 69"
392,570,8,12661,"Belvedere, 8th Alley 20"
393,856,6,15494,"Montague, Carberry Center 85"
394,791,3,36379,"Watsonville, Waubesa Terrace 53"
395,214,5,41930,"Chino Hills, Onsgard Place 35"
396,680,7,11171,"Rolling Hills, Oakridge Place 96"
397,921,7,2090,"South San Francisco, Elmside Hill 32"
398,814,6,37672,"South Lake Tahoe, Gale Street 24"
399,632,3,26152,"Richmond, Springs Center 5"
400,3,1,51112,"Calipatria, Derek Trail 86"
401,847,1,19101,"Yuba City, Dawn Trail 61"
402,480,3,15433,"Blue Lake, Logan Way 12"
403,114,5,51991,"Paramount, Forster Park 50"
404,495,7,26585,"California City, Cardinal Pass 73"
405,917,3,55132,"Nevada City, Stoughton Place 54"
406,389,7,6646,"Escondido, Pennsylvania Terrace 58"
407,335,1,13756,"Huron, Transport Parkway 61"
408,388,7,22940,"Anderson, Oneill Drive 82"
409,89,6,47789,"Coronado, Raven Pass 99"
410,344,1,50002,"Jackson, Cherokee Parkway 50"
411,154,3,36963,"Tulelake, Sullivan Crossing 95"
412,594,7,25400,"Santa Ana, La Follette Road 78"
413,64,5,22644,"Walnut, Mesta Crossing 83"
414,6,2,17621,"Brea, Erie Place 52"
415,821,7,21301,"Rancho Palos Verdes, Oak Trail 73"
416,988,6,37251,"Menifee, Fuller Park 45"
417,713,2,38035,"El Cajon, Dawn Drive 68"
418,292,6,13618,"Huron, Crowley Point 22"
419,210,3,33831,"Westminster, Morningstar Way 71"
420,188,2,54048,"National City, Ridge Oak Point 47"
421,947,7,10485,"Lakewood, Trailsway Junction 16"
422,351,7,30736,"Holtville, Kedzie Circle 90"
423,667,2,10505,"Cerritos, Summerview Pass 35"
424,288,4,19190,"Stanton, Glendale Street 62"
425,41,7,55765,"Woodland, Di Loreto Parkway 12"
426,599,2,48973,"Whittier, Little Fleur Avenue 17"
427,632,5,42859,"Yountville, 7th Place 82"
428,347,1,11205,"San Bruno, Hanson Pass 52"
429,979,4,29417,"Los Gatos, Bluestem Alley 29"
430,963,6,21037,"Paramount, Carioca Avenue 50"
431,726,5,54293,"Westlake Village, Cascade Parkway 81"
432,260,7,3312,"Visalia, Schmedeman Hill 46"
433,512,5,16996,"Sierra Madre, Sunbrook Hill 29"
434,9,8,683,"Yuba City, Mendota Point 6"
435,474,3,45806,"Albany, Fisk Pass 10"
436,151,7,45660,"Carpinteria, Carberry Alley 6"
437,548,3,35351,"La Cañada Flintridge, Sachs Lane 12"
438,12,5,35671,"Mammoth Lakes, Buena Vista Avenue 69"
439,93,4,11980,"Benicia, Emmet Junction 99"
440,8,3,9522,"Williams, Westridge Hill 74"
441,372,3,5063,"Los Altos Hills, Summer Ridge Junction 10"
442,639,3,17123,"Redondo Beach, Jana Parkway 90"
443,525,3,4057,"Novato, Sugar Avenue 85"
444,499,3,29212,"San Joaquin, Pond Alley 89"
445,361,7,11740,"California City, High Crossing Alley 59"
446,693,8,12463,"San Carlos, Kedzie Hill 31"
447,548,3,9614,"Pittsburg, Victoria Crossing 18"
448,309,1,45489,"Avenal, Almo Center 54"
449,252,7,42623,"Mendota, Morrow Lane 22"
450,326,1,55514,"Temecula, Debs Trail 10"
451,710,6,51103,"Calistoga, Dennis Point 75"
452,35,3,55032,"Gridley, Sycamore Plaza 99"
453,265,4,35391,"Rancho Cordova, Homewood Way 51"
454,940,2,50786,"Trinidad, Homewood Park 78"
455,980,7,24003,"Willows, Village Green Park 47"
456,606,4,26854,"Sonoma, Bay Parkway 2"
457,528,3,46931,"Galt, Lukken Place 96"
458,600,1,53280,"La Quinta, Bluestem Avenue 56"
459,777,8,25589,"Fowler, American Ash Road 71"
460,612,4,53866,"Westmorland, Nancy Lane 69"
461,563,3,25754,"Winters, Fordem Pass 73"
462,313,6,46521,"Taft, Esch Lane 77"
463,907,6,32561,"San Fernando, Green Trail 56"
464,762,8,39209,"Rancho Cucamonga, Muir Way 65"
465,109,2,29961,"Cathedral City, Pepper Wood Court 18"
466,119,4,30039,"Banning, Gateway Court 4"
467,521,7,19524,"Yucca Valley, Lukken Court 88"
468,286,5,721,"Bell Gardens, Kenwood Alley 13"
469,761,7,35064,"Tehama, Grayhawk Alley 46"
470,593,7,50097,"San Clemente, Autumn Leaf Parkway 52"
471,920,8,47822,"Hidden Hills, Corscot Circle 17"
472,303,5,18100,"Angels Camp, Luster Parkway 24"
473,992,2,12680,"Lomita, Russell Drive 49"
474,817,3,5573,"Del Mar, Becker Court 39"
475,269,1,31920,"Palmdale, Lunder Court 4"
476,449,1,47146,"Claremont, Surrey Pass 66"
477,116,1,41684,"Woodside, Waxwing Lane 68"
478,21,8,39119,"Rancho Santa Margarita, Gateway Plaza 35"
479,245,7,45884,"Woodland, Oxford Center 82"
480,512,1,59068,"Fort Bragg, Meadow Ridge Pass 41"
481,244,7,3589,"Corona, Moland Place 68"
482,652,7,45769,"Indian Wells, Mcbride Avenue 66"
483,354,5,36357,"San Diego, High Crossing Center 2"
484,423,3,16585,"Daly City, Anniversary Crossing 70"
485,869,1,32325,"Merced, Blaine Road 15"
486,141,2,47828,"Fort Bragg, Badeau Hill 10"
487,232,2,44417,"Carmel-by-the-Sea, Towne Terrace 29"
488,520,5,43734,"Sacramento, Melody Avenue 33"
489,850,4,31891,"Hanford, Mayer Plaza 82"
490,624,2,56229,"Sutter Creek, Corry Parkway 45"
491,839,3,2036,"Calabasas, Mayfield Court 30"
492,218,1,51402,"Half Moon Bay, Golf Road 96"
493,896,3,45036,"South Lake Tahoe, Sutherland Circle 26"
494,895,5,37709,"Cotati, Shoshone Road 22"
495,489,5,56502,"Antioch, Forest Lane 11"
496,344,4,54624,"Clovis, Center Drive 90"
497,611,5,46121,"Ferndale, Merchant Junction 96"
498,403,4,19927,"Claremont, Glacier Hill Center 55"
499,873,3,59428,"San Francisco, Vidon Parkway 5"
500,409,7,35472,"McFarland, Straubel Court 43"
501,17,8,24816,"Portola Valley, Anniversary Way 44"
502,557,5,10420,"Fairfax, Troy Point 86"
503,281,2,18049,"La Mirada, Eggendart Trail 64"
504,819,3,19261,"Big Bear Lake, Cordelia Way 21"
505,103,1,28414,"Redwood City, Lawn Drive 20"
506,556,2,12164,"Merced, Shasta Point 39"
507,570,8,17123,"Newport Beach, Upham Parkway 57"
508,952,3,39361,"Goleta, Summerview Park 58"
509,744,2,28015,"Antioch, Bartelt Trail 17"
510,215,8,52934,"Waterford, Bluestem Lane 90"
511,212,6,6717,"Elk Grove, Summer Ridge Parkway 74"
512,206,2,25150,"Duarte, Summit Lane 49"
513,513,1,3696,"Alameda, Fulton Crossing 96"
514,887,6,12988,"McFarland, Monica Point 30"
515,791,8,2340,"San Bruno, Dahle Drive 4"
